Name,id_Number,row_Number,seat_Number,auditorium_Number
Alan Gamble,89473199911247719,3,30,3
Alan Gasper,71660196301036321,25,31,2
Alan Gray,37879201107253228,4,47,2
Alan Hedlund,48085193401202388,36,58,1
Alan Inyart,46783194310177424,59,1,4
Alan Kim,39521193210195222,4,52,1
Alan Kretschmer,35201201204246970,1,36,2
Alan Lamay,62128196701233820,35,4,2
Alan Mcnett,14888194002039905,6,4,1
Alan Ramos,79196196106068114,36,29,2
Alan Whirry,18578200607141478,34,63,1
Alan White,97271196308206098,15,56,4
Alana Zielinski,93182196504012229,35,51,1
Alanna Burkholder,55533199906127324,34,39,4
Alba Fox,32494198711091445,33,11,6
Alba Villa,84463197411142139,20,6,4
Albert Barham,34063200903185257,10,8,1
Albert Butler,30618199802272937,49,42,1
Albert Castaneda,35662193005094234,12,20,2
Albert Green,52292199011095723,1,45,2
Albert Hill,51254199503249716,51,55,2
Albert Hoffpavir,58287197101217463,21,26,1
Albert Lee,38966195901016911,38,50,5
Albert Lemmo,64470193508218099,53,30,2
Albert Lopez,87856199409221250,49,7,1
Albert Mann,77127193212255025,4,33,4
Albert Martins,88631198312309693,30,60,5
Albert Maskell,47595199610288037,48,23,2
Albert Momphard,67857202003204470,2,60,1
Albert Overman,70337197612128515,22,11,4
Albert Patterson,85432196208278724,27,34,1
Albert Phillip,21915196612302588,23,43,6
Albert Schiefelbein,17164198506293457,66,9,4
Albert Turnipseed,40646200311059719,14,60,2
Albert Walker,65907194708252537,36,25,1
Alberta Aldrete,16253201907094285,7,62,5
Alberta Ford,15540198301193583,22,62,2
Alberta Martin,75725195105285064,24,28,4
Alberto Fancher,10330193505076840,7,60,5
Alberto Marquez,73583197012253101,56,31,4
Alberto Nagel,81873200001173947,28,31,6
Aldo Trask,28258199008078804,40,38,6
Aleida Haas,75350200108044744,16,27,5
Alejandra Carlen,16927199703121584,21,30,3
Alejandra Keitsock,11824200701084567,46,61,1
Alejandra Thurston,29063193407219346,32,26,1
Alejandro Rodriquez,46150198904144928,7,30,2
Alejandro Smith,63850199110189135,7,45,1
Alejandro Taylor,74997194209167369,40,62,2
Alesia Palomaki,19838200002152157,32,23,1
Alessandra Guetersloh,91438195408082224,19,20,1
Aletha Young,47738200009272260,10,17,6
Alethia Bouchard,34239195904033818,56,38,2
Alex Carroll,78122198005134426,56,46,4
Alex Harrison,81687197408173596,50,64,2
Alex Hayes,83159193606107371,32,27,3
Alex Puckett,25915198406118744,32,62,5
Alex Seal,85027200106127689,33,30,3
Alexa Maples,86582201803069489,29,38,2
Alexander Grove,76592194704288996,3,28,3
Alexander Heuck,42452200007283469,23,22,4
Alexander Johnston,85112193308114841,23,10,3
Alexander Jones,21404198303185295,54,41,2
Alexander Juarez,56568193612049045,9,34,2
Alexander Martinez,19115196804222500,21,7,5
Alexander Pritts,12668200807165711,25,34,1
Alexander Showers,11414195304069478,15,50,2
Alexander Waldron,18082193905248940,7,17,2
Alexander Whittenbeck,15655200204278674,56,1,2
Alexander Williams,33405196712107050,37,29,3
Alexandra Baker,17288196412216439,21,23,2
Alexandra Brill,58178199002066352,55,20,4
Alexandra Cortez,31864201403139996,22,24,6
Alexandra Davison,72061198609034646,8,41,4
Alexandra Gomez,35910197201051248,31,10,4
Alexandria Bailey,50915201806305677,4,61,2
Alexandria Horowitz,29317198211266414,23,47,1
Alexis Carpenter,85642200609285607,54,51,2
Alexis Kelly,77266201009153090,58,12,2
Alexis Turnbull,13986196810183943,42,58,5
Alexis Whitlow,81096201302104087,44,37,5
Alfonso Farley,35536193212127382,32,17,3
Alfonso Graves,92069197505177273,6,4,6
Alfonso Mcdaniel,80239201108168946,45,64,1
Alfonzo Shaver,95077193906294341,40,57,4
Alfred Bostian,33028200102257434,36,14,2
Alfred Crews,74057202004089320,5,59,1
Alfred Cunningham,71709199904128625,18,46,4
Alfred Groves,16641198304057077,3,44,3
Alfred Reyolds,69549201106108147,9,41,6
Alfred Vasquez,93188195305062869,14,42,6
Alfred Watson,13853195812176977,24,12,6
Alfreda Duggan,95657195706169624,25,15,6
Alfredia Bader,66078193606241405,10,6,3
Alfredo Green,50116197106237601,43,34,5
Alfredo Mullen,44676201301092774,45,4,1
Alfredo Ryan,66064200508297808,27,1,2
Alfredo Thomas,59972194711151919,42,62,5
Alia Griffin,62132196807256838,54,62,4
Alia Powell,22761194309084986,44,55,2
Alice Baker,20538202001027030,29,40,6
Alice Bracy,70117197907292875,55,54,2
Alice Chandler,50480195306192434,48,12,1
Alice Chase,48419195010023138,4,14,5
Alice Cowley,49354200403117642,30,39,2
Alice Dunbar,51474199406304569,9,30,6
Alice Gillen,87215201607085752,23,12,6
Alice Hamlin,20485194111257336,46,20,1
Alice Hayes,75926200501045870,6,5,5
Alice Jackson,86500197410139422,11,25,2
Alice Kuttner,93985199506196856,22,11,1
Alice Lugo,69731196604048688,17,48,1
Alice Mestas,91673200808256399,3,34,5
Alice Miller,75947201609254926,9,40,1
Alice Neace,69799194704086316,6,24,1
Alice Nieman,30837199502141498,28,47,5
Alice Parsons,64978201006023649,21,44,3
Alice Perkins,59675199711071592,6,55,1
Alice Peterson,38717200601066420,18,59,5
Alice Roberts,45066201107252887,29,4,4
Alice Schneider,98642197112292680,35,50,4
Alice Shones,88909198712237430,4,42,4
Alice Smith,44222201502191271,17,33,6
Alice Swanson,93719200903243489,6,60,4
Alice Thorne,51992200601253035,29,39,6
Alice Widrick,51230194012012192,11,1,2
Alicia Ganison,61990194307123147,37,66,4
Alicia Grove,26145194707041910,12,31,1
Alicia Husseini,59860201810138336,15,58,2
Alicia James,16386193205076609,49,64,1
Alicia Lauzon,34917194701127416,50,26,1
Alicia Lew,56596198108181843,41,1,6
Alicia Olivares,19971197209196696,52,42,2
Alicia Patel,12771194512081906,55,28,4
Alicia Puentes,49796197203036113,22,26,2
Alicia Sheldon,22717194110312307,42,41,6
Alicia Smith,34682195610127433,2,16,4
Alicia Williams,27391194308029059,32,19,1
Alida Chauez,96428201307249025,25,35,5
Alisa Griffen,91088194404139825,27,65,1
Alisha Kline,26043201607191932,35,65,1
Alison Boisvert,78755199507309055,28,68,4
Alison Chandler,25720199407276015,59,41,4
Alison Jordan,43482198905014556,27,35,4
Alison Paul,90603200006226132,61,54,4
Alison Tilley,13789195905281226,28,13,6
Alix Owens,49294199805072508,38,20,4
Aliza Campbell,15969193101193134,5,47,1
Allen Atkins,23003195506117782,4,27,2
Allen Mitchell,25877201404038026,45,8,5
Allen Prince,73558201103035675,2,4,2
Allen Rodriguez,86240193001139441,26,10,6
Allen Stater,57823200205055679,6,25,3
Allen Torres,99021196703215477,59,53,4
Allie Mccarthy,18322195308278827,29,32,5
Allie Schmid,64815197607268725,48,24,2
Allie Smith,95161193905301951,52,42,4
Alline Chavez,40481193512194706,13,30,4
Allison Gatling,92280194201223140,11,14,2
Allison Godbolt,62595196601107171,41,68,4
Allison Johnson,66110193711218440,43,4,2
Allison Pickhardt,21672199103141661,25,13,6
Allison Sherwood,91790201201015461,41,61,1
Allyson Boone,64681193106145440,45,56,2
Allyson Vest,17914196708075577,5,37,2
Alma Alvidrez,92481194301061236,44,58,2
Alma Catt,47566198311181264,34,36,3
Alma Fala,86580197109297666,25,15,5
Alma Felton,29971195509029368,51,36,2
Alma Lee,30445193901013227,11,54,1
Alma Patton,36651196004034455,13,62,2
Alma Schooley,17052194002186058,28,54,1
Alma Williams,95469199903205592,50,65,2
Alonzo Johnson,10624196901209985,45,39,1
Alonzo Wright,84622198401052795,24,3,6
Alta Carpenter,25771196306281905,35,43,5
Alta Kaeo,60084198109293793,22,17,3
Althea Moore,36454201401308496,45,34,5
Alton Moffatt,16815201509094506,58,25,2
Alva Edwards,51888195107197674,39,20,5
Alvaro Carr,12551196904261705,21,66,1
Alvaro Kovach,96509198312317369,12,18,3
Alvin Aho,86633196009107839,17,31,6
Alvin Boender,24893199805191718,11,20,2
Alvin Brown,26155201401172059,11,2,1
Alvin Clark,90874193105104301,45,5,2
Alvin Cuadrado,86259198409276220,50,52,2
Alvin Faunce,19186194401103549,18,4,4
Alvin Hayes,45185193407194249,10,52,5
Alvin Schultz,72424196804075061,18,1,2
Alvina Stlaurent,98655196505056734,8,62,2
Alysia Watson,58436196302238553,6,49,2
Alyson Morris,89427200408236454,6,34,4
Alyssa Cochrane,47092198002044484,2,55,5
Alyssa Jasper,51864200005061796,13,44,1
Alyssa Martin,98883200511162962,26,17,2
Alyssa Roberts,80846195308297767,54,10,4
Amada Reed,44867201202208551,1,68,1
Amado Rohling,87925199907073153,4,38,2
Amalia Ansley,68737193803098617,34,52,4
Amalia Perez,42627194512296876,58,28,4
Amanda Alston,25957193505119757,21,11,6
Amanda Baker,67898197402129984,6,37,3
Amanda Bradfield,47599198804024861,26,62,1
Amanda Chu,61857195310318856,45,57,1
Amanda Coleman,63310198105038689,18,49,5
Amanda Davidson,64268193908028044,16,36,1
Amanda Deans,57759198109155128,48,33,2
Amanda Eggleston,67257197602209825,67,45,4
Amanda Fischer,11253194412226706,10,31,4
Amanda Glosson,67165193904011196,58,16,2
Amanda Good,25447194202089487,25,39,2
Amanda Grady,74438196907051037,19,9,1
Amanda Guthrie,48537197001239485,2,43,1
Amanda Jones,70741197108188219,37,61,2
Amanda Mahan,34992193104234891,33,27,6
Amanda Mccue,80603194512092197,33,43,6
Amanda Mcdevitt,27973201301028986,29,9,4
Amanda Mcrae,89388199512237663,3,15,2
Amanda Michna,78183193507114848,44,60,5
Amanda Ocasio,64793201812209691,33,42,1
Amanda Pech,67391200703245824,9,29,3
Amanda Poitier,23449193507154987,26,52,2
Amanda Reilly,74883198701095175,25,3,5
Amanda Rhoten,49104193805307669,44,28,4
Amanda Seymour,35574194604037650,16,23,1
Amanda Shepherd,91783197001224270,11,51,5
Amanda Smeltzer,26049201103157591,40,33,4
Amanda Snyder,49200195812306484,18,43,3
Amanda Sparks,10007199803207225,36,4,3
Amanda Stillwell,17782196208283050,26,37,6
Amanda Trimble,84127200601182362,49,44,1
Amanda Vallejo,63923194301179084,1,21,3
Amanda Williams,85636200703144391,23,56,4
Amanda Williams,13422195506183727,18,44,2
Amber Berringer,23930198510085951,31,60,5
Amber Bonilla,54904196701271771,3,43,1
Amber Cooksey,69541195110229496,50,36,4
Amber Housman,15448196012118052,4,45,4
Amber James,22908201901272402,2,1,1
Amber Laurent,15251199911262041,20,60,4
Amber Lucas,41548195008105095,13,26,2
Amber Piper,80928201510174104,45,60,2
Amber Richardson,49102199504197656,23,53,2
Amber Robbins,95772201011297934,59,38,2
Amber Rogers,65558198209045151,12,5,2
Amber Stuber,18394198312157228,4,11,6
Amber Tackett,35951194611175722,57,15,2
Amber White,33265197106064493,11,59,1
Amber Wilkerson,79154196703044534,15,9,6
Amelia Harris,32875201105166942,44,55,4
Amelia Pinette,18876198201274197,17,58,1
Amelia Skinner,67022199212035096,3,67,4
Amie Hooper,83841194410273949,20,11,3
Amina Robertson,34272199202088100,40,60,5
Amos Raspberry,11446196712315402,19,19,5
Amparo Ledford,12857199505302544,57,29,4
Amparo Mcmanus,41535196205308717,66,21,4
Amy Allen,12664195901121415,33,23,3
Amy Beckem,34879193703109127,19,32,5
Amy Betance,44530200201287462,4,36,6
Amy Bunch,85980193801168290,54,65,4
Amy Couey,12706193301259235,26,32,4
Amy Dees,30453200103049299,7,7,3
Amy Dowell,21775200911287184,28,23,2
Amy Evans,12999197306021719,59,39,4
Amy Faulkner,39003201909181559,31,53,5
Amy Foster,82995197211106111,22,60,5
Amy Graham,81341193111016405,30,41,1
Amy Green,82031200701234787,26,10,2
Amy Holloway,16250200605155810,40,15,2
Amy Hudson,64927201907272515,20,65,4
Amy Husk,78053201205235257,31,22,6
Amy Izzo,36891198108318745,18,14,2
Amy Kaminsky,51100195607096478,43,51,5
Amy Little,67062199208301953,54,11,4
Amy Lu,21731195709122117,8,9,1
Amy Lucky,14018198404199824,39,32,4
Amy Mccarty,81837196303046763,26,53,4
Amy Mcdonald,97433195003195488,40,37,1
Amy Merritt,31980197011287575,36,60,4
Amy Miller,67455200612246220,10,46,4
Amy Niemi,78269194710192751,6,31,2
Amy Nolton,17689194708209802,32,4,6
Amy Robinson,16635197107173091,33,53,5
Amy Roderick,76452194412061867,9,62,2
Amy Rose,15801195302029369,25,20,1
Amy Saavedra,44534195002036145,29,16,3
Amy Sedlock,38383201905084312,33,26,4
Amy Silva,39914198401169276,64,15,4
Amy Stewart,15821199506031811,15,61,5
Amy Walker,13090195208032518,14,6,4
Amy Widera,48212195602153797,33,40,4
Amy Wood,98419201003248946,17,54,2
Ana Bowen,16747194807105087,48,6,4
Ana Garcia,95173195403127256,34,48,5
Ana Garza,50785198603259772,35,2,2
Ana Gaston,65284198306202457,40,42,2
Ana King,88781195805131915,34,43,6
Ana Ma,82904196905253838,27,20,5
Ana Numbers,19158197812241520,41,24,6
Ana Pew,62600200411061582,8,42,6
Ana Scribner,82129194903259040,17,9,3
Andre Arthur,42785201703227262,22,44,5
Andre Matson,45506198607266652,29,48,5
Andre Nunez,10234202001281452,4,55,1
Andre Resendez,77325197101074917,21,27,2
Andre Salas,34419199503127497,14,21,3
Andre Smith,33602197209075382,43,68,4
Andre Wooldridge,26769193104014081,5,19,1
Andrea Armor,33893195208065526,37,58,2
Andrea Bonello,76726199706088117,13,15,1
Andrea Carpenter,58676199908179619,19,9,2
Andrea Chaires,55896199606084938,1,8,2
Andrea Chance,75310194010033034,13,6,3
Andrea Diego,46920198510312784,15,3,2
Andrea Dillon,34937199512138842,27,17,5
Andrea Dobbs,27654194302138075,5,55,1
Andrea Estrada,10686199712031850,59,44,2
Andrea Gary,66521195209157666,7,32,2
Andrea Gatling,36488201412062621,38,2,6
Andrea Gonsoulin,59799195903184678,26,32,5
Andrea Hart,21635200001034353,42,21,4
Andrea Lee,29198198209101572,23,9,3
Andrea Mckinney,68557197212249478,12,3,2
Andrea Mishou,56644198312146653,27,40,4
Andrea Nuzum,63573196102112363,39,43,1
Andrea Sharp,30150197206195044,13,55,2
Andrea Snyder,89071200111148156,25,10,3
Andrea White,15357195901074171,5,63,4
Andrea Young,60301193104256038,15,57,2
Andres Fortin,23533194205215887,21,32,2
Andres Skinnen,16782194503146632,2,4,4
Andres Swanson,15780193403236529,1,53,1
Andrew Affagato,11331195407038989,37,42,2
Andrew Barbosa,16411196112157490,23,19,6
Andrew Barron,53273198906143532,52,39,4
Andrew Barth,20312200603245871,12,29,3
Andrew Beyer,70598195511172751,24,37,4
Andrew Blakley,79487197606204917,37,10,2
Andrew Blanding,14844200005312205,24,52,1
Andrew Brauner,22242200012225473,21,15,1
Andrew Brown,17686200804234272,7,16,5
Andrew Caron,83890201209017748,27,63,2
Andrew Carpenter,18835196301191296,21,7,1
Andrew Demark,14572200805031326,39,55,4
Andrew Ducharme,85754199904303331,27,10,4
Andrew Dyer,85775201702215585,32,48,4
Andrew Emmert,98651200805288453,32,11,6
Andrew Farmer,42985201607274451,48,27,4
Andrew Farrar,55725198109037720,15,64,1
Andrew Gardner,64956199608023116,32,63,1
Andrew Geppert,19129195502038843,24,1,4
Andrew Ha,38370199803313779,11,51,1
Andrew Juarez,42698195810149917,2,42,1
Andrew Kennedy,82513197703041920,47,5,4
Andrew Lowe,17899195109012446,13,7,5
Andrew Mccoy,29217194002032301,13,53,1
Andrew Mitchell,58940197803286832,45,39,2
Andrew Morasca,68845200005173806,45,8,4
Andrew Nast,21742193602218947,42,28,1
Andrew Oliver,31383193501272268,1,34,5
Andrew Persinger,65852193512174219,4,47,5
Andrew Rhoades,78038199509175213,34,13,6
Andrew Smith,18312197807163179,16,3,6
Andrew Smith,88513201709103166,14,43,4
Andrew Sparling,61008195702192691,31,67,1
Andrew Stephens,97234201806112858,7,29,5
Andrew Taylor,65573198202012178,6,2,4
Andrew Thao,96142193805137796,15,28,4
Andrew Villalobos,90912200702219941,25,64,4
Andrew Villalobos,45352195512313509,7,48,4
Andrew Walton,11114200612049982,21,40,1
Andrew Williams,34080193304243136,20,33,6
Andrew Wilson,84676199108203592,34,33,4
Andy Cochran,97886195407131547,35,14,6
Andy Didonato,15830200008291153,13,61,1
Andy Duffy,51552198403092685,26,40,3
Andy Johanson,87571199503283332,38,23,5
Anette Kyle,84092195803238303,1,24,2
Angel Anderson,36918200312179415,17,54,1
Angel Best,20686199710152306,7,12,2
Angel Bruno,77246193005235900,18,12,6
Angel Culbertson,45066198303302640,35,66,2
Angel Davis,67393196512198676,19,12,2
Angel Desrosiers,79052197102122937,12,7,2
Angel Flanigan,79536195602015892,36,45,1
Angel Kim,18140195106256217,7,46,4
Angel Nix,24218201909153490,4,60,1
Angel Prather,15833199707231724,59,24,2
Angel Sandoval,80189200507195961,21,46,4
Angel Slater,68010201502117503,36,7,3
Angel Weaver,28071197710035198,36,31,3
Angela Barney,88066200504309305,36,56,5
Angela Bell,32151194603286073,23,34,3
Angela Branch,87363197406042938,49,37,2
Angela Bustos,40756200506042412,14,16,6
Angela Cates,93869197410301207,11,33,4
Angela Cheatham,53008198308199115,23,53,1
Angela Delgado,14978193012287093,3,45,4
Angela Dorf,64652193405071914,14,32,4
Angela Emerson,73821199902267734,39,6,3
Angela Gosnell,55873197501209898,42,30,6
Angela Gregory,94837196911173589,8,39,6
Angela Heyd,38420199012029866,12,53,2
Angela Jackson,42291196904243063,12,11,1
Angela Jernigan,26330200111049294,11,18,4
Angela Landor,74679194604063533,7,55,1
Angela Laster,57801198802282064,46,58,2
Angela Marron,29071195102207749,24,21,3
Angela Mccain,34495194111154616,34,62,5
Angela Mitchel,69297196212145203,35,57,4
Angela Morrison,14325200811116140,43,62,5
Angela Perkins,31822196108098427,39,21,2
Angela Rivera,57417200305097576,61,1,4
Angela Rodriguez,57909195405244082,24,38,5
Angela Rush,68520195711158774,53,48,4
Angela Scruggs,41876195001048402,63,13,4
Angela Smith,52558194504078785,49,36,2
Angela Smith,62878196501173582,63,64,4
Angela Smith,43403194507187711,25,62,2
Angela Stripling,99113198304241250,4,7,2
Angela Tuttle,42350196701094872,9,37,6
Angela Vu,40178198110206523,42,54,2
Angelica Dardar,82847198803048013,62,44,4
Angelica Mcdonald,36939199309263924,7,46,1
Angelica Vela,13713198212228577,8,14,1
Angelina Hardie,32655195107262170,57,32,2
Angelina Moya,22425194004259979,23,20,6
Angelique Strunk,15357195006033817,11,35,2
Angelita Brenner,99226201305309541,33,52,1
Angelita Sanders,83568193012114052,36,30,4
Angelita Whitlock,28963197212315845,29,7,4
Angelo Burrell,61572196011112914,1,35,4
Angelo Franklin,41094194808037512,41,40,1
Angelo Higgins,93654197509295594,32,23,4
Angelo Plitt,46425193709014296,4,66,2
Angelo Price,78777194802016958,27,17,3
Angelo Webster,54657195011038764,55,51,2
Angie Davis,17858199312162837,24,9,6
Angie Magan,82594193611264071,24,36,1
Angie Randall,97499202005284645,39,53,2
Anibal Mayo,63239193202162241,33,2,5
Anita Black,69541199202084621,2,63,4
Anita Caldwell,85757193712158142,28,22,6
Anita Camacho,44921199611215830,55,14,4
Anita Curtiss,70302198703028969,7,39,6
Anita Davis,46610198301023738,32,22,4
Anita Dome,55962195911115409,40,35,2
Anita Fan,11292200703097582,20,11,4
Anita Grubbs,50230200103143392,30,51,5
Anita Jones,94848201012247049,36,36,3
Anita King,66921197110206577,25,24,4
Anita Klapp,70578196008059050,22,4,3
Anita Kramer,21156195703016194,38,10,6
Anita Landis,15688193806173296,25,28,1
Anita Miller,21544194205077252,12,15,3
Anita Morris,84710199110081361,6,43,4
Anita Mullen,95702195601315058,32,28,6
Anita Priest,64064198912248842,16,57,5
Anita Rodriguez,23854200906279749,40,23,5
Anita Roughton,15564200302175636,26,5,1
Ann Alguire,12965196112205095,30,36,1
Ann Anderson,98693195705308294,6,45,4
Ann Aponte,26695193105049035,51,18,2
Ann Bailey,87721200303011423,47,51,1
Ann Brown,98082193411113789,34,56,1
Ann Brown,53978193312232149,27,28,4
Ann Canady,68123195303318715,13,26,1
Ann Chambers,98855194212292761,6,40,4
Ann Chesley,60280199910312625,18,41,5
Ann Cleary,69442200603026594,29,19,4
Ann Dolan,84667201206131163,26,13,3
Ann Ellis,96300199009268900,12,42,3
Ann Ferrara,35619200406163186,27,48,4
Ann Fournier,55019194210152367,9,60,1
Ann Ingram,84850195912199745,36,64,2
Ann Jasper,36060194406126086,19,29,4
Ann Johnson,82519197712122916,1,42,5
Ann Jordan,41703196304089883,14,36,6
Ann Lamothe,99768193808146432,7,8,5
Ann Lyons,36002193302186691,14,50,1
Ann Mann,32071195408131947,35,33,3
Ann Maultsby,13013199002053852,13,53,2
Ann Meyer,10311194110058485,37,33,6
Ann Nasta,64777197812125120,43,41,6
Ann Oldroyd,22273195207081385,37,6,5
Ann Phelps,73228193302136313,44,12,1
Ann Saucedo,47733199106043387,10,64,2
Ann Scott,21781193601063306,25,12,6
Ann Skees,95796200810088279,33,35,2
Ann Sproul,69800197211027137,6,13,6
Ann Stoner,50808196601284912,27,52,1
Ann Zabel,51704194605085083,16,7,4
Anna Burns,28808195406074002,25,63,2
Anna Burton,85457196203311868,42,1,6
Anna Campbell,27927198207125196,11,31,1
Anna Carrithers,34391193510222320,32,4,5
Anna Coleman,40338199104187400,36,20,1
Anna Davis,58428193606108272,61,12,4
Anna Day,64843201303301404,23,37,6
Anna Dever,31114193610133981,38,64,4
Anna Elliot,57212196502223823,8,20,6
Anna Galloway,81140201101256831,21,5,3
Anna Grasso,12137197703128639,8,8,4
Anna Holt,15764197505095064,35,51,5
Anna Hooten,50696196007057666,20,48,4
Anna Johns,38167199105065853,36,24,2
Anna Johnston,77126194810217744,39,37,3
Anna Lang,53207196210226733,31,33,3
Anna Martinez,53787195907029131,39,33,1
Anna Mathison,53205193505044980,10,15,5
Anna Mayer,40394196603127078,23,15,4
Anna Mayette,68859193906162848,20,5,4
Anna Medina,35669195807037108,29,42,4
Anna Miller,19384196108292642,22,30,5
Anna Nguyen,84419197606108271,22,45,5
Anna Norrod,73672193107202737,13,33,2
Anna Orourke,54934197108135360,31,4,4
Anna Orzell,74122194409145322,14,9,6
Anna Peco,99547193103285443,18,4,6
Anna Quinn,43240197409171822,28,32,6
Anna Reed,14949193508201833,27,56,4
Anna Robichaux,12692196909118530,11,52,1
Anna Sproul,67807199908183363,30,46,2
Anna Stalling,74987201501029330,8,33,2
Anna Taylor,56050198610279587,33,11,3
Anna Vandevelde,78073195804191729,37,55,1
Anna Walsh,58134196607269658,50,33,4
Anna Warner,15085200603152215,48,65,4
Anna Whitfield,73234198305306498,23,33,4
Anna Wilson,84917201206021003,8,4,6
Anna Woolfolk,58551198502135852,36,17,4
Annabell Peters,14625200105026605,36,12,5
Annamae Spears,29961199904066240,3,19,2
Annamarie Frederick,17766193201242066,19,19,2
Anne Brown,39750196304138343,23,15,2
Anne Carson,70280197803018749,3,40,6
Anne Colantuono,83115200105226341,34,61,5
Anne Duke,36421200406286837,22,27,2
Anne Fielding,68484200105105672,42,50,4
Anne Hull,36682199511106062,44,17,2
Anne Humann,95228196807181132,42,24,4
Anne Jordan,25004193612043113,18,38,5
Anne Kirk,59448199501267379,13,45,2
Anne Koehler,54280197704196221,4,41,5
Anne Mcclarty,41244198806103641,2,27,4
Anne Mcclinsey,68311201807281506,12,23,4
Anne Parry,39223193901284413,1,61,2
Anne Pullen,67792200011284457,17,31,3
Anne Schammel,75800194308307247,66,56,4
Anne Thomas,51243198309266819,36,62,5
Anne Vela,58327199010143762,18,56,1
Anne Wright,10499195502024973,28,30,1
Anneliese Krock,56858198604143140,8,18,3
Annette Banks,40161196304123439,46,52,5
Annette Castillo,37615198612241606,61,21,4
Annette Eaddy,14807199604088934,34,8,6
Annette Griego,71099196912198874,36,15,3
Annette Mears,92452198302057518,57,51,4
Annette Norris,95643200912039858,35,61,4
Annette Person,71594199811228082,28,34,5
Annette Rusert,76165197508309640,40,20,1
Annette Shives,17359197610234385,31,33,5
Annette Sikorski,82386194201185336,28,8,4
Annie Ardoin,18996196711259959,15,12,3
Annie Benbow,14717193508081416,19,12,4
