Name,id_Number,gender,height_cm,weight_kg
Alicia Lord,57486200108183089,Female,213,79
Alicia Mckillop,79154196703044534,Female,150,114
Alicia Mckillop,20910197503238393,Male,158,61
Alicia Olivares,19971197209196696,Male,212,102
Alicia Patel,12771194512081906,Male,190,107
Alicia Puentes,49796197203036113,Female,212,85
Alicia Smith,34682195610127433,Female,204,107
Alicia Williams,27391194308029059,Male,163,90
Alisa Bell,71839196608167347,Male,165,58
Alisa Bell,28795198202044480,Female,151,99
Alisa Griffen,91088194404139825,Male,166,113
Alisa Lowe,21795199401285231,Male,217,85
Alisha Kline,26043201607191932,Male,205,114
Alisha Perez,65471198407102896,Female,201,96
Alison Boisvert,78755199507309055,Male,160,114
Alison Chandler,25720199407276015,Female,200,75
Alison Dawes,11322201608244510,Female,165,53
Alison Gore,57148201410101265,Male,163,63
Alison Gore,13808193211263604,Male,207,64
Alison Jordan,43482198905014556,Female,197,66
Alison Kalinowski,33018201312074199,Male,198,71
Alison Kalinowski,56634201512121504,Female,193,56
Alison Oakley,58097196701183670,Female,218,87
Alison Paul,90603200006226132,Female,165,96
Alison Peragine,18955199706051541,Female,198,82
Alix Owens,49294199805072508,Female,163,103
Aliza Campbell,15969193101193134,Male,203,81
Allan Depedro,98170198302032831,Male,184,108
Allen Atkins,23003195506117782,Male,192,47
Allen Barer,18439201411148428,Female,204,55
Allen Barer,58887193603291954,Female,165,115
Allen Castaneda,75883201008273848,Female,151,67
Allen Fowler,43112200203162732,Female,154,80
Allen Jenkins,71246200406065812,Male,188,64
Allen Massie,73430194807091362,Female,208,79
Allen Norman,20114201905269896,Male,184,81
Allen Norman,97713193702032076,Male,183,58
Allen Prince,73558201103035675,Male,219,98
Allen Serna,25002198606101081,Female,209,72
Allen Serna,13620199405097579,Male,169,84
Allen Stater,57823200205055679,Male,156,77
Allen Torres,99021196703215477,Male,166,91
Allen Weeks,56950196406202464,Female,166,84
Allen Wilkerson,52707197905173721,Male,165,47
Allena Bennett,83788193404291858,Female,165,53
Allena Bennett,10947194301298538,Female,171,96
Allie Phillis,87075194005269500,Male,216,101
Allie Schmid,64815197607268725,Female,200,93
Allie Smith,95161193905301951,Female,152,113
Alline Chavez,40481193512194706,Female,167,84
Allison Acosta,79917201901223469,Male,172,109
Allison Daniel,44587198410182729,Male,185,107
Allison Gatling,92280194201223140,Male,169,107
Allison Godbolt,62595196601107171,Female,180,55
Allison Johnson,66110193711218440,Male,177,118
Allison Mysak,76283194203288815,Female,203,87
Allison Rinker,97928197205187039,Female,197,118
Allison Rogal,75094201111251935,Female,217,53
Allison Sherwood,91790201201015461,Male,151,77
Allyson Boone,64681193106145440,Male,181,100
Allyson Gilbertson,76922194103144637,Female,197,99
Allyson Vest,17914196708075577,Male,159,58
Alma Alvidrez,92481194301061236,Female,174,68
Alma Burges,30142193309059005,Female,219,119
Alma Burges,84673194604244160,Male,202,112
Alma Catt,47566198311181264,Female,176,107
Alma Felton,29971195509029368,Female,173,63
Alma Lee,30445193901013227,Female,150,115
Alma Patton,36651196004034455,Male,208,60
Alma Rollefson,85394192305215517,Female,161,65
Alma Rollefson,34992193104234891,Male,205,58
Alma Schooley,17052194002186058,Female,165,112
Alma Seabaugh,89110202006114366,Male,198,54
Alma Williams,95469199903205592,Male,189,113
Alonzo Hardy,95825192007116150,Female,202,70
Alonzo Johnson,10624196901209985,Male,201,99
Alta Bates,50204192810075699,Female,186,92
Alta Kaeo,60084198109293793,Male,190,96
Altagracia Monroe,44941198510181075,Male,203,106
Althea Powell,69161192208315729,Male,161,95
Alton Culhane,77192200803044378,Male,207,66
Alton Culhane,62786194301026000,Female,202,110
Alton Moffatt,16815201509094506,Male,216,47
Alvaro Kovach,96509198312317369,Female,164,83
Alvaro Wilkes,57317198301232477,Male,164,117
Alvaro Wilkes,28840196006091569,Female,205,117
Alvin Brown,26155201401172059,Female,152,91
Alvin Cuadrado,86259198409276220,Female,193,70
Alvin Faunce,19186194401103549,Male,213,99
Alvin Melendez,19387194112302170,Male,196,45
Alvin Steele,29275195206229140,Female,155,97
Alvin Steele,64777197812125120,Female,211,98
Alvina Stlaurent,98655196505056734,Male,214,64
Alysia Watson,58436196302238553,Male,211,65
Alyson Morris,89427200408236454,Female,151,104
Alyssa Crofton,51666195610082075,Female,173,99
Alyssa Crofton,22674194101117377,Male,216,111
Alyssa Jasper,51864200005061796,Female,203,46
Alyssa Roberts,80846195308297767,Male,161,107
Alyssa Rozmus,41722192009173189,Female,213,66
Alyssa Townsend,43457192408089339,Female,205,93
Amada Reed,44867201202208551,Male,197,78
Amado Rohling,87925199907073153,Female,192,67
Amalia Chaney,85312193203252820,Female,153,47
Amalia Perez,42627194512296876,Female,159,110
Amanda Baker,67898197402129984,Male,151,46
Amanda Black,64535201702192652,Female,218,97
Amanda Black,98881193210054753,Female,150,89
Amanda Bradfield,47599198804024861,Male,197,108
Amanda Davidson,64268193908028044,Male,201,118
Amanda Davis,55473198402255869,Male,174,87
Amanda Davis,10945201008044800,Female,190,101
Amanda Deans,57759198109155128,Male,201,47
Amanda Dixon,85146197012171020,Female,199,75
Amanda Emery,53281199008314591,Female,167,46
Amanda Fischer,11253194412226706,Male,205,61
Amanda Ford,22869200604233069,Male,190,80
Amanda Ford,79645192612057914,Female,191,101
Amanda Glosson,67165193904011196,Female,203,81
Amanda Grady,74438196907051037,Male,192,61
Amanda Guthrie,48537197001239485,Female,210,74
Amanda Hendley,30626197606308131,Female,208,73
Amanda Holt,77958194711308605,Female,204,103
Amanda Howell,19649199505316039,Male,182,100
Amanda Jones,70741197108188219,Female,150,94
Amanda Koehl,23211196301022989,Female,219,86
Amanda Lewis,89000201409277502,Male,205,90
Amanda Lewis,16322193007289655,Male,152,54
Amanda Lowe,26301196108114634,Male,201,115
Amanda Maloy,16552200203233942,Male,208,116
Amanda Maloy,71983193203311148,Female,181,77
Amanda Martin,18331193804109723,Male,162,119
Amanda Martin,63902197306175236,Female,183,109
Amanda Mcdevitt,27973201301028986,Male,162,83
Amanda Mcfee,45819196609233841,Female,162,79
Amanda Mcfee,22512192505235941,Male,160,111
Amanda Mcrae,89388199512237663,Male,193,104
Amanda Moore,42758197707304421,Male,158,69
Amanda Ocasio,64793201812209691,Female,177,57
Amanda Pech,67391200703245824,Male,190,79
Amanda Poitier,23449193507154987,Male,210,83
Amanda Reilly,74883198701095175,Male,202,54
Amanda Rhoten,49104193805307669,Male,212,76
Amanda Ruff,86233192011014151,Female,169,67
Amanda Seymour,35574194604037650,Female,170,104
Amanda Snyder,49200195812306484,Female,164,103
Amanda Trimble,84127200601182362,Female,193,110
Amanda Vallejo,63923194301179084,Male,159,78
Amanda Wein,92903193610102903,Female,218,52
Amanda Wein,83900195109027466,Male,202,78
Amanda Williams,13422195506183727,Male,175,92
Amanda Wilson,48245196803258071,Female,190,90
Amanda Wilson,54523199612177585,Female,164,95
Amanda Zhou,87217194611177684,Male,159,74
Amanda Zhou,81470196903074241,Female,205,80
Amber Alessandroni,59369197305177882,Male,210,95
Amber Bolton,94241197209155583,Male,179,98
Amber Bonilla,54904196701271771,Female,180,50
Amber Cooksey,69541195110229496,Female,172,99
Amber Holze,34741195410294339,Female,165,78
Amber James,22908201901272402,Female,216,71
Amber Kemp,97178199312131533,Male,172,115
Amber Lucas,41548195008105095,Male,193,66
Amber Piper,80928201510174104,Female,183,91
Amber Richardson,49102199504197656,Male,183,93
Amber Robbins,95772201011297934,Male,159,71
Amber Rodriguez,94673194609015145,Male,172,74
Amber Rodriguez,22449201606289190,Male,170,68
Amber Rogers,65558198209045151,Female,152,47
Amber Tackett,35951194611175722,Male,178,89
Amber White,33265197106064493,Male,158,103
Amelia Case,42700194203078454,Male,171,75
Amelia Case,94372199911118648,Female,212,85
Amelia Pinette,18876198201274197,Male,194,62
Amelia Skinner,67022199212035096,Male,166,90
Amie Hooper,83841194410273949,Male,168,62
Amos Horton,10354199009013579,Male,159,102
Amos Horton,93588193205035800,Male,172,61
Amparo Ledford,12857199505302544,Male,182,81
Amparo Mcmanus,41535196205308717,Female,154,79
Amy Aivao,46276194908116006,Female,178,83
Amy Aivao,40185198212243816,Male,203,93
Amy Alicea,37602196111271833,Male,217,73
Amy Allen,12664195901121415,Female,150,51
Amy Anderson,93226195006225340,Male,178,62
Amy Anderson,56862199912123288,Male,213,61
Amy Berg,65861199011222500,Female,202,118
Amy Box,32943192211042661,Female,171,75
Amy Bradley,56265193512147858,Female,163,87
Amy Bryant,89321198803057390,Male,181,112
Amy Bunch,85980193801168290,Female,171,82
Amy Clark,58115201102093395,Female,153,56
Amy Couey,12706193301259235,Female,197,67
Amy Dees,30453200103049299,Female,206,73
Amy Dowell,21775200911287184,Male,169,84
Amy Evans,12999197306021719,Female,216,57
Amy Fitz,68497195405167670,Male,201,64
Amy Fitz,48401197301307192,Female,215,56
Amy Graham,81341193111016405,Female,176,77
Amy Green,82031200701234787,Male,215,66
Amy Hamilton,87049192001253027,Female,198,79
Amy Harpole,43987192706224260,Female,151,92
Amy Harpole,85032195810011161,Female,176,77
Amy Holloway,16250200605155810,Male,154,74
Amy Hudson,64927201907272515,Male,181,55
Amy Izzo,36891198108318745,Male,187,65
Amy Lee,17239201403248703,Female,180,112
Amy Lee,66086197710056004,Male,165,86
Amy Little,67062199208301953,Male,185,80
Amy Lu,21731195709122117,Male,215,82
Amy Lucky,14018198404199824,Male,205,55
Amy Mccarty,81837196303046763,Male,172,80
Amy Mcdonald,97433195003195488,Female,161,119
Amy Mcspadden,60871194908018871,Female,202,50
Amy Mcspadden,27037196110261333,Female,213,58
Amy Merritt,31980197011287575,Male,209,63
Amy Niemi,78269194710192751,Female,190,69
Amy Peterson,85058196610062437,Female,160,87
Amy Peterson,76917195907137798,Female,207,72
Amy Roderick,76452194412061867,Female,181,74
Amy Rose,15801195302029369,Male,175,87
Amy Saavedra,44534195002036145,Female,200,81
Amy Sedlock,38383201905084312,Female,163,103
Amy Silva,39914198401169276,Female,174,94
Amy Stevenson,69907199602075483,Male,199,84
Amy Widera,48212195602153797,Female,185,112
Amy Wise,21900192009296150,Male,186,46
Amy Wise,79440195505041742,Male,216,62
Amy Wood,98419201003248946,Male,151,49
Ana Bowen,16747194807105087,Female,185,54
Ana Dumas,48080198007276896,Female,188,91
Ana Garza,50785198603259772,Male,157,119
Ana Gaston,65284198306202457,Male,187,102
Ana Nies,29467201504276027,Female,158,54
Ana Nies,57113202007041399,Male,192,70
Ana Scribner,82129194903259040,Female,172,58
Anabel Jewell,18454193012257443,Female,177,83
Andre Carroll,28778195501247369,Male,156,62
Andre Conn,77990199112159773,Male,212,46
Andre Conn,70795201305161073,Female,168,62
Andre Flores,26448195707049783,Female,193,89
Andre Frost,32583196102114044,Male,209,74
Andre Frost,86618195004219653,Female,216,87
Andre Nunez,10234202001281452,Female,193,95
Andre Resendez,77325197101074917,Male,168,84
Andre Salas,34419199503127497,Female,218,95
Andre Smith,33602197209075382,Male,151,117
Andre Stanley,65270196605272763,Female,157,77
Andre West,41535192003172864,Male,194,109
Andre Wooldridge,26769193104014081,Male,170,112
Andrea Alexander,59576200603227723,Male,172,64
Andrea Alexander,83275196111303582,Male,197,80
Andrea Armor,33893195208065526,Female,152,79
Andrea Bonello,76726199706088117,Female,154,111
Andrea Bowman,27574192012198698,Male,157,119
Andrea Carpenter,58676199908179619,Male,209,119
Andrea Chaires,55896199606084938,Male,160,111
Andrea Chance,75310194010033034,Female,195,116
Andrea Diego,46920198510312784,Female,208,96
Andrea Dobbs,27654194302138075,Female,171,102
Andrea Estrada,10686199712031850,Female,213,46
Andrea Gary,66521195209157666,Female,216,97
Andrea Gendreau,27423193602051604,Male,218,75
Andrea Gilbert,46365200303248969,Male,156,87
Andrea Hart,21635200001034353,Female,186,84
Andrea Lee,29198198209101572,Female,206,66
Andrea Leyva,30418193308206740,Female,158,53
Andrea Mishou,56644198312146653,Male,200,117
Andrea Nuzum,63573196102112363,Female,201,92
Andrea Ozuna,53110198305169594,Female,170,60
Andrea Purnell,85497198112068568,Female,216,47
Andrea Purnell,15086196808152425,Male,201,89
Andrea Sharp,30150197206195044,Female,172,104
Andrea Stanley,70783197010136198,Male,172,78
Andrea Wall,37790194501046280,Male,213,78
Andrea Wall,70644201911229393,Male,219,96
Andrea White,15357195901074171,Female,182,92
Andrea Young,82332199608048843,Female,194,99
Andrea Young,50167196605046384,Female,212,69
Andres Fortin,23533194205215887,Male,174,76
Andres Skinnen,16782194503146632,Female,194,66
Andrew Affagato,11331195407038989,Male,165,88
Andrew Allen,14486192309179438,Male,160,80
Andrew Barron,53273198906143532,Male,194,71
Andrew Barth,20312200603245871,Female,169,107
Andrew Bates,78710193608021448,Female,175,45
Andrew Bates,75089192807011698,Male,203,97
Andrew Beauchemin,56912200007054932,Male,200,74
Andrew Beauchemin,71214199904159657,Female,151,99
Andrew Beyer,70598195511172751,Female,212,58
Andrew Blakley,79487197606204917,Male,218,51
Andrew Blanding,14844200005312205,Male,193,49
Andrew Brauner,22242200012225473,Female,212,57
Andrew Caron,83890201209017748,Female,195,95
Andrew Carpenter,18835196301191296,Male,156,47
Andrew Cline,42159194405071907,Female,177,50
Andrew Crawford,41588198905208775,Male,171,118
Andrew Crawford,99468194207292633,Male,176,101
Andrew Cuellar,27787196212076808,Female,183,103
Andrew Dellinger,57814193605163856,Male,218,64
